isomer_ID,Fucosylated,Acidic,Neutral,Basic Core Type,isomer_name,Hex,HexNAc,Fuc,Neu5Ac,isomer_suffix,Neu5Gc,CoreType_1,CoreType_2,has_linkage,has_Neu5Gc
2_1_0_0_0f,,,1,,Gal-Gal(b1-4)GlcNAc,2,1,0,0,"f  ",0,,,1,
2_1_0_0_0h,,,1,,HexNAc-Gal(b1-4)Glc,2,1,0,0,"h  ",0,,,1,
2_1_0_0_0i,,,1,,HexNAc-Gal(b1-4)Glc,2,1,0,0,"i  ",0,,,1,
2_1_0_0_0j,,,1,,HexNAc-Gal(b1-4)Glc,2,1,0,0,"j  ",0,,,1,
2_1_0_1_0a,,1,,,"GalNAc(b1-4)[Neu5Ac(a2-3)]Gal(b1-4)Glc (GM2 tetrasaccharide or GM2 tetra)",2,1,0,1,"a  ",0,,,1,
2_1_0_1_0b,,1,,,"Neu5Ac(a2-3) + HexNAc-Gal(b1-3)Glc",2,1,0,1,"b  ",0,,,1,
2_1_0_1_0c,,1,,,Neu5Ac(a2-3)GlcNAc(b1-3)Gal(b1-4)Glc,2,1,0,1,"c  ",0,,,1,
2_1_0_1_0d,,1,,,Neu5Ac(a2-6)GlcNAc(b1-6)Gal(b1-4)Glc,2,1,0,1,"d  ",0,,,1,
2_1_0_1_0e,,1,,,Neu5Ac(a2-6)GlcNAc(b1-3)Gal(b1-4)Glc,2,1,0,1,"e  ",0,,,1,
2_1_1_0_0a,1,,1,,Fuc(a1-2)Gal(b1-4)[GalNAc(a1-3)]Glc,2,1,1,0,"a  ",0,,,1,
2_1_1_0_0b,1,,1,,"GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc (A-tetrasaccharide)",2,1,1,0,"b  ",0,,,1,
2_1_1_1_0a,1,1,,,Neu5Ac(a2-3)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal,2,1,1,1,"a  ",0,,,1,
2_1_2_0_0a,1,,1,,"GalNAc(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]Glc (A-pentasaccharide)",2,1,2,0,"a  ",0,,,1,
2_2_0_0_0a,,,1,,Gal-HexNAc-Gal(b1-4)GlcNAc,2,2,0,0,"a  ",0,,,1,
3_0_0_0_0a,,,1,,"Gal(a1-3)Gal(b1-4)Glc (isoglobotriose or 3′-GL)",3,0,0,0,"a  ",0,,,1,
3_0_0_0_0b,,,1,,"Gal(b1-3)Gal(b1-4)Glc (b 3′-GL)",3,0,0,0,"b  ",0,,,1,
3_0_0_0_0c,,,1,,"Gal(b1-4)Gal(b1-4)Glc (4'-GL)",3,0,0,0,"c  ",0,,,1,
3_0_0_0_0d,,,1,,"Gal(a1-4)Gal(b1-4)Glc (globotriose)",3,0,0,0,"d  ",0,,,1,
3_0_0_0_0e,,,1,,"Gal(b1-6)Gal(b1-4)Glc (6′-GL)",3,0,0,0,"e  ",0,,,1,
3_0_0_1_0a,,1,,,Gal(b1-3)[Neu5Ac(a2-6)]Gal(b1-4)Glc,3,0,0,1,"a  ",0,,,1,
3_0_0_1_0b,,1,,,Gal(b1-6)[Neu5Ac(a2-3)]Gal(b1-4)Glc,3,0,0,1,"b  ",0,,,1,
3_0_0_1_0c,,1,,,Gal(b1-6)[Neu5Ac(a2-6)]Gal(b1-4)Glc,3,0,0,1,"c  ",0,,,1,
3_0_0_1_0d,,1,,,Gal(b1-6)[Neu5Ac(a2-3)]Gal(b1-4)Glc,3,0,0,1,"d  ",0,,,1,
3_0_0_1_0e,,1,,,"Neu5Ac(a2-3)Gal(b1-3)Gal(b1-4)Glc (sialyl 3′-galactosyllactose)",3,0,0,1,"e  ",0,,,1,
3_0_0_1_0f,,1,,,"Neu5Ac(a2-3) + Gal-Gal(b1-3)Glc",3,0,0,1,"f  ",0,,,1,
3_0_0_2_0a,,1,,,Neu5Ac(a2-3)Gal(b1-3)[Neu5Ac(a2-6)]Gal(b1-4)Glc,3,0,0,2,"a  ",0,,,1,
3_0_1_0_0a,1,,1,,"Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)Glc (B-tetrasaccharide)",3,0,1,0,"a  ",0,,,1,
3_0_1_0_0b,1,,1,,"Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]Glc (fucosyl isoglobotriose)",3,0,1,0,"b  ",0,,,1,
3_0_1_0_0c,1,,1,,"Fuc + Gal-Gal(b1-4)Glc",3,0,1,0,"c  ",0,,,1,
3_0_1_0_0d,1,,1,,"Fuc + Gal-Gal(b1-4)Glc",3,0,1,0,"d  ",0,,,1,
3_0_2_0_0a,1,,1,,"Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]Glc (B-pentasaccharide)",3,0,2,0,"a  ",0,,,1,
3_1_0_0_0c,,,1,,"Gal(b1-4)[GlcNAc(b1-6)]Gal(b1-4)Glc (iso-LNnT)",3,1,0,0,"c  ",0,,,1,
3_1_0_0_0d,,,1,,Gal(b1-3)[GlcNAc(b1-6)]Gal(b1-4)Glc,3,1,0,0,"d  ",0,,,1,
3_1_0_0_0e,,,1,,Gal(b1-6)[GlcNAc(b1-3)]Gal(b1-4)Glc,3,1,0,0,"e  ",0,,,1,
3_1_0_0_0k,,,1,,Gal(b1-4)GlcNAc(b1-6)Gal(b1-4)Glc,3,1,0,0,"k  ",0,,,1,
3_1_0_0_0b,,,1,2,"Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc (LNnT)",3,1,0,0,"b  ",0,,1,1,
1_1_0_0_1a,,1,,,"Neu5Gc(a2-3)Gal(b1-4)GlcNAc (3'-GLN)",1,1,0,0,"a  ",1,,,1,1
1_1_0_0_1b,,1,,,"Neu5Gc(a2-6)Gal(b1-4)GlcNAc (6'-GLN)",1,1,0,0,"b  ",1,,,1,1
1_1_0_0_1c,,1,,,Neu5Gc+Gal(b1-4)GlcNAc,1,1,0,0,"c  ",1,,,1,1
3_1_0_0_0l,,,1,,Gal(b1-6)GlcNAc(b1-3)Gal(b1-4)Glc,3,1,0,0,"l  ",0,,,1,
4_1_0_0_1a,,1,,,"Neu5Gc(a2-3) + Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]Gal(b1-4)Glc (3GLNnP I)",4,1,0,0,"a  ",1,,,1,1
3_1_0_1_0b,,1,,,"Gal(b1-3)[Neu5Ac(a2-6)]GlcNAc(b1-3)Gal(b1-4)Glc (LST b)",3,1,0,1,"b  ",0,,,1,
4_1_0_0_1b,,1,,,"Neu5Gc(a2-6) + Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]Gal(b1-4)Glc (6GLNnP I)",4,1,0,0,"b  ",1,,,1,1
3_1_0_0_1a,,1,,2,"Neu5Gc(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc (a2-6N-glycolylneuraminyl lacto-N-neotetraose)",3,1,0,0,"a  ",1,,1,1,1
3_1_0_0_1b,,1,,2,"Neu5Gc + Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc (GLNnT)",3,1,0,0,"b  ",1,,1,1,1
3_1_1_0_0l,1,,1,,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)Gal(b1-4)Glc,3,1,1,0,"l  ",0,,,1,
3_1_1_0_0m,1,,1,,Gal(b1-3)GlcNAc(b1-6)Gal(b1-4)[Fuc(a1-3)]Glc,3,1,1,0,"m  ",0,,,1,
3_1_3_0_0b,1,,1,,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-?)Gal(b1-4)[Fuc(a1-3)]Glc,3,1,3,0,"b  ",0,,,1,
3_2_0_0_0a,,,1,,Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)Glc,3,2,0,0,"a  ",0,,,1,
3_2_0_0_0d,,,1,,"GlcNAc + Gal(b1-4)GlcNAc-Gal(b1-4)Glc",3,2,0,0,"d  ",0,,,1,
3_2_0_0_0m,,,1,,"Gal(a1-3)GlcNAc(b1-6)Gal(b1-4)[GalNAc(a1-3)]Glc (grunniose)",3,2,0,0,"m  ",0,,,1,
3_2_0_1_0a,,1,,,Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)Glc,3,2,0,1,"a  ",0,,,1,
3_2_0_2_0c,,1,,,Neu5Ac+Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)Glc,3,2,0,2,"c  ",0,,,1,
3_2_0_2_0d,,1,,,Neu5Ac+Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)[GlcNAc(b1-3)]Gal(b1-4)Glc,3,2,0,2,"d  ",0,,,1,
3_3_0_0_0a,,,1,,"Gal(b1-4)GlcNAc + Gal-GlcNAc-Gal(b1-4)GlcNAc",3,3,0,0,"a  ",0,,,1,
3_3_0_0_0b,,,1,,Gal(b1-4)HexNAc-HexNAc-Gal-Gal(b1-4)Glc,3,3,0,0,"b  ",0,,,1,
3_3_1_0_0a,1,,1,,Fuc+Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)GlcNAc,3,3,1,0,"a  ",0,,,1,
4_0_0_0_0a,,,1,,"Gal(b1-3)Gal(b1-3)Gal(b1-4 )Glc ( 3”,3’-digalactosyllactose)",4,0,0,0,"a  ",0,,,1,
4_0_0_0_0b,,,1,,Gal-Gal-Gal(b1-4)Glc,4,0,0,0,"b  ",0,,,1,
4_0_0_0_0g,,,1,,Gal(b1-3)[Gal(b1-6)]Gal(b1-4)Glc,4,0,0,0,"g  ",0,,,1,
4_0_0_1_0a,,1,,,Neu5Ac(a2-3)Gal(b1-3)Gal(b1-3)Gal(b1-4)Glc,4,0,0,1,"a  ",0,,,1,
4_1_0_0_0a,,,1,,"Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]Gal(b1-4)Glc (LNnP I)",4,1,0,0,"a  ",0,,,1,
4_1_0_0_0c,,,1,,Gal(b1-3)[Gal(b1-6)GlcNAc(b1-6)]Gal(b1-4)Glc,4,1,0,0,"c  ",0,,,1,
4_1_0_0_0e,,,1,,Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc,4,1,0,0,"e  ",0,,,1,
4_1_0_0_0j,,,1,,Gal(b1-3)[Gal(b1-4)]GlcNAc(b1-3)Gal(b1-4)Glc,4,1,0,0,"j  ",0,,,1,
4_1_0_1_0a,,1,,,"Neu5Ac(a2-3)Gal(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc (SLNnP a)",4,1,0,1,"a  ",0,,,1,
4_1_0_1_0b,,1,,,"Gal(b1-3)[Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc (SLNnP b)",4,1,0,1,"b  ",0,,,1,
4_1_0_1_0c,,1,,,"Gal(b1-3)[Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc (SLNnP c)",4,1,0,1,"c  ",0,,,1,
3_1_0_1_0c,,1,,2,"Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc (6'-SLNnT)",3,1,0,1,"c  ",0,,1,1,
3_1_0_1_0d,,1,,2,"Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc (3'-SLNnT)",3,1,0,1,"d  ",0,,1,1,
3_1_0_1_0e,,1,,2,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,3,1,0,1,"e  ",0,,1,1,
3_1_0_1_0m,,1,,2,"Neu4,5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc",3,1,0,1,"m  ",0,,1,1,
3_1_1_0_0c,1,,1,2,"Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc (LNFP III)",3,1,1,0,"c  ",0,,1,1,
3_1_1_0_0d,1,,1,2,"Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc (LNFP IV)",3,1,1,0,"d  ",0,,1,1,
3_1_1_0_0f,1,,1,2,"Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]Glc (LNFP VI or LNnFP V)",3,1,1,0,"f  ",0,,1,1,
3_1_1_1_0a,1,1,,2,"Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]Glc (F-LSTc)",3,1,1,1,"a  ",0,,1,1,
3_1_1_1_0b,1,1,,2,Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc,3,1,1,1,"b  ",0,,1,1,
3_1_1_1_0d,1,1,,2,"Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]Glc (SFLNnT)",3,1,1,1,"d  ",0,,1,1,
3_1_1_1_0i,1,1,,2,"Neu4,5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc",3,1,1,1,"i  ",0,,1,1,
3_1_2_0_0c,1,,1,2,Fuc(a1-2)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc,3,1,2,0,"c  ",0,,1,1,
3_1_2_0_0e,1,,1,2,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]Glc,3,1,2,0,"e  ",0,,1,1,
3_2_1_0_0b,1,,1,2,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)[GlcNAc(b1-6)]Gal(b1-4)Glc,3,2,1,0,"b  ",0,,1,1,
4_1_0_1_0d,,1,,,"Neu5Ac(a2-3) + Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]Gal(b1-4)Glc (3-SLNnP I)",4,1,0,1,"d  ",0,,,1,
4_1_0_1_0e,,1,,,"Neu5Ac(a2-6) + Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]Gal(b1-4)Glc (6-SLNnP I)",4,1,0,1,"e  ",0,,,1,
4_1_0_1_0j,,1,,,Neu5Ac+Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]Gal(b1-4)Glc,4,1,0,1,"j  ",0,,,1,
4_1_0_2_0a,,1,,,"2Neu5Ac + Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]Gal(b1-4)Glc (DSLNnP I)",4,1,0,2,"a  ",0,,,1,
4_1_0_2_0c,,1,,,"2Neu5Ac + Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]Gal(b1-4)Glc",4,1,0,2,"c  ",0,,,1,
4_1_1_0_0b,1,,1,,"Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc (galactosyl LNFP III)",4,1,1,0,"b  ",0,,,1,
4_1_1_0_0c,1,,1,,"Gal(b1-3)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Gal(b1-4)Glc (F LNnP I)",4,1,1,0,"c  ",0,,,1,
4_1_1_0_0e,1,,1,,Fuc+Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]Gal(b1-4)Glc,4,1,1,0,"e  ",0,,,1,
4_1_1_0_0h,1,,1,,Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Gal(b1-3)]Gal(b1-4)Glc,4,1,1,0,"h  ",0,,,1,
4_1_1_1_0a,1,1,,,"Neu5Ac(a2-3)Gal(b1-3)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Gal(b1-4)Glc (FS LNnP a)",4,1,1,1,"a  ",0,,,1,
4_1_1_1_0b,1,1,,,Fuc+Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-3)]Gal(b1-4)Glc,4,1,1,1,"b  ",0,,,1,
4_2_0_0_1a,,1,,2,"Neu5Gc(a2-3) + Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc (3-GLNnH)",4,2,0,0,"a  ",1,,1,1,1
4_2_0_0_0f,,,1,,"Gal(b1-4)GlcNAc + Gal(b1-4)GlcNAc-Gal(b1-4)Glc",4,2,0,0,"f  ",0,,,1,
4_2_0_0_1b,,1,,2,"Neu5Gc(a2-6) + Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc (6GLNnH)",4,2,0,0,"b  ",1,,1,1,1
4_1_1_0_0a,1,,1,2,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc,4,1,1,0,"a  ",0,,1,1,
4_1_2_0_0a,1,,1,2,Gal(a1-3)[Fuc(a1-2)]Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc,4,1,2,0,"a  ",0,,1,1,
4_1_2_0_0b,1,,1,2,Gal(a1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]Glc,4,1,2,0,"b  ",0,,1,1,
4_2_0_0_0b,,,1,2,"Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc (LNnH)",4,2,0,0,"b  ",0,,1,1,
4_2_0_0_0c,,,1,2,"Gal(b1-3)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc (p-LNH)",4,2,0,0,"c  ",0,,1,1,
4_2_0_0_0d,,,1,2,"Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc (para LNnH)",4,2,0,0,"d  ",0,,1,1,
4_2_0_1_0c,,1,,2,"Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc (S-LNnH)",4,2,0,1,"c  ",0,,1,1,
4_2_0_1_0d,,1,,2,"Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc (S-LNnH II)",4,2,0,1,"d  ",0,,1,1,
4_2_0_1_0e,,1,,2,"Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc (S para LNnH)",4,2,0,1,"e  ",0,,1,1,
4_2_0_1_0f,,1,,2,Gal(b1-4)[Neu5Ac(a2-6)]GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc,4,2,0,1,"f  ",0,,1,1,
4_2_1_1_0e,1,1,,2,Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc,4,2,1,1,"e  ",0,,1,1,
4_2_1_1_0f,1,1,,2,"Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Gal(b1-4)Glc (FS-LNnH I)",4,2,1,1,"f  ",0,,1,1,
4_2_1_1_0m,1,1,,2,Fuc+Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)[Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc,4,2,1,1,"m  ",0,,1,1,
4_2_1_1_0q,1,1,,2,"Fuc+Neu5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc (FS-LNnH II)",4,2,1,1,"q  ",0,,1,1,
4_2_1_1_0s,1,1,,2,"Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Neu4,5Ac(a2-6)Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc",4,2,1,1,"s  ",0,,1,1,
4_2_1_1_0t,1,1,,2,"Neu4,5Ac(a2-6)Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)[Fuca1-3)]GlcNAc(b1-3)]Gal(b1-4)Glc",4,2,1,1,"t  ",0,,1,1,
4_2_1_1_0u,1,1,,2,"Neu4,5Ac(a2-3)+Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]Gal(b1-4)Glc",4,2,1,1,"u  ",0,,1,1,
4_2_1_1_0v,1,1,,2,"Neu4,5Ac(a2-3)+Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)]Gal(b1-4)Glc",4,2,1,1,"v  ",0,,1,1,
4_2_1_2_0h,1,1,,2,"Neu5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)[Neu4,5Ac(a2-3)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc",4,2,1,2,"h  ",0,,1,1,
4_2_1_2_0i,1,1,,2,"Neu5Ac(a2-3)Gal(b1-4)GlcNAc(b1-3)[Neu4,5Ac(a2-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Gal(b1-4)Glc",4,2,1,2,"i  ",0,,1,1,
4_2_1_2_0j,1,1,,2,2Neu5Ac+Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)[Fuca1-3)]GlcNAc(b1-3)]Gal(b1-4)Glc,4,2,1,2,"j  ",0,,1,1,
4_2_2_0_0a,1,,1,2,"Fuc(a1-2)Gal(b1-4)GlcNAc(b1-3)[Fuc(a1-2)Gal(b1-4)GlcNAc(b1-6)]Gal(b1-4)Glc (DFLNnH)",4,2,2,0,"a  ",0,,1,1,
4_2_2_0_0c,1,,1,2,"Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-6)]Gal(b1-4)Glc (DFLNnH)",4,2,2,0,"c  ",0,,1,1,
4_2_2_0_0d,1,,1,2,"Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc (DF-paraLNnH)",4,2,2,0,"d  ",0,,1,1,
4_2_2_0_0k,1,,1,2,"Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-3)Gal(b1-4)Glc (DF-para LNH I)",4,2,2,0,"k  ",0,,1,1,
4_2_2_0_0l,1,,1,2,"Fuc(a1-2)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)Glc (DF-para LNH II)",4,2,2,0,"l  ",0,,1,1,
